entry_time,exit_time,symbol,direction,entry_price,exit_price,shares,pnl,exit_reason
2026-02-26 12:55 EST,2026-02-26 13:25 EST,QQQ,long,606.1100,605.6400,1,-0.47,TP
2026-02-27 11:55 EST,2026-02-27 12:00 EST,QQQ,long,607.1400,606.7100,1,-0.43,TP
2026-02-27 12:30 EST,2026-02-27 12:35 EST,QQQ,long,606.3200,607.0300,1,0.71,TP
2026-02-27 13:00 EST,2026-02-27 13:10 EST,QQQ,long,606.1300,605.5850,1,-0.54,SL
2026-03-05 14:15 EST,2026-03-05 14:30 EST,QQQ,long,604.2100,603.1300,1,-1.08,EOD
2026-03-06 12:50 EST,2026-03-06 13:10 EST,QQQ,long,603.1400,603.5500,1,0.41,TP
2026-03-11 12:30 EDT,2026-03-11 13:00 EDT,QQQ,long,606.9300,608.2600,1,1.33,TP
2026-03-11 14:25 EDT,2026-03-11 14:30 EDT,QQQ,long,606.3100,607.2300,1,0.92,EOD
2026-03-13 12:30 EDT,2026-03-13 13:00 EDT,QQQ,long,594.8500,593.6878,1,-1.16,TP
2026-03-13 14:30 EDT,2026-03-13 14:30 EDT,QQQ,long,594.0450,594.5800,1,0.54,EOD
2026-03-18 12:50 EDT,2026-03-18 13:05 EDT,QQQ,long,599.6900,599.2000,1,-0.49,SL
2026-03-19 12:00 EDT,2026-03-19 12:05 EDT,QQQ,long,590.6700,591.0900,1,0.42,TP
2026-03-19 13:45 EDT,2026-03-19 13:55 EDT,QQQ,long,589.5900,590.6600,1,1.07,TP
2026-03-20 13:00 EDT,2026-03-20 13:20 EDT,QQQ,long,585.9400,585.2300,1,-0.71,SL
2026-03-25 12:00 EDT,2026-03-25 12:25 EDT,QQQ,long,587.8400,588.8300,1,0.99,TP
2026-03-26 11:50 EDT,2026-03-26 12:20 EDT,QQQ,long,581.2000,580.4200,1,-0.78,TP
2026-03-30 12:40 EDT,2026-03-30 13:05 EDT,QQQ,long,562.4600,561.3750,1,-1.09,SL
2026-04-06 11:45 EDT,2026-04-06 11:55 EDT,QQQ,long,586.8100,587.5900,1,0.78,TP
2026-04-06 12:15 EDT,2026-04-06 12:35 EDT,QQQ,long,587.0900,587.5850,1,0.50,TP
2026-04-06 14:10 EDT,2026-04-06 14:20 EDT,QQQ,long,586.3800,587.7700,1,1.39,TP
2026-04-10 13:55 EDT,2026-04-10 14:25 EDT,QQQ,long,610.8150,610.7883,1,-0.03,TP
2026-04-17 14:20 EDT,2026-04-17 14:30 EDT,QQQ,long,647.4450,648.1400,1,0.69,EOD
2026-04-21 12:00 EDT,2026-04-21 12:30 EDT,QQQ,long,646.5750,645.8500,1,-0.73,TP
2026-04-29 13:25 EDT,2026-04-29 14:00 EDT,QQQ,long,658.6201,659.6000,1,0.98,TP
